movie,year,id
Carrie,1976,74285
Eraserhead,1977,74486
Cross of Iron,1977,74695
Logan's Run,1976,74812
Mikey and Nicky,1976,74901
Network,1976,74958
The Omen,1976,75005
Rocky,1976,75148
Taxi Driver,1976,75314
Annie Hall,1977,75686
Close Encounters of the Third Kind,1977,75860
Exorcist II: The Heretic,1977,76009
The Goodbye Girl,1977,76095
Julia,1977,76245
Rabid,1977,76590
Smokey and the Bandit,1977,76729
The Spy Who Loved Me,1977,76752
Star Wars: Episode IV - A New Hope,1977,76759
Which Way Is Up?,1977,76913
Coming Home,1978,77362
Dawn of the Dead,1978,77402
Days of Heaven,1978,77405
The Deer Hunter,1978,77416
The Driver,1978,77474
Grease,1978,77631
Halloween,1978,77651
Heaven Can Wait,1978,77663
The Hills Have Eyes,1977,77681
Invasion of the Body Snatchers,1978,77745
Jaws 2,1978,77766
The Lord of the Rings,1978,77869
Midnight Express,1978,77928
Superman,1978,78346
An Unmarried Woman,1978,78444
Alien,1979,78748
The Amityville Horror,1979,78767
Apocalypse Now,1979,78788
Being There,1979,78841
Breaking Away,1979,78902
The Great Train Robbery,1978,79240
Hardcore,1979,79271
The Jerk,1979,79367
Kramer vs. Kramer,1979,79417
Meatballs,1979,79540
Norma Rae,1979,79638
Rocky II,1979,79817
Star Trek: The Motion Picture,1979,79945
The Warriors,1979,80120
When a Stranger Calls,1979,80130
Zulu Dawn,1979,80180
9 to 5,1980,80319
Airplane!,1980,80339
The Blues Brothers,1980,80455
Caddyshack,1980,80487
Du zhou,1985,80583
Dressed to Kill,1980,80661
The Elephant Man,1980,80678
Star Wars: Episode V - The Empire Strikes Back,1980,80684
Flash Gordon,1980,80745
The Fog,1980,80749
Friday the 13th,1980,80761
Melvin and Howard,1980,81150
Ordinary People,1980,81283
Prom Night,1980,81383
Raging Bull,1980,81398
Scanners,1981,81455
The Shining,1980,81505
The Stunt Man,1980,81568
Superman II,1980,81573
Time Bandits,1981,81633
An American Werewolf in London,1981,82010
Body Heat,1981,82089
Dragonslayer,1981,82288
Escape from New York,1981,82340
Excalibur,1981,82348
For Your Eyes Only,1981,82398
The Great Muppet Caper,1981,82474
Halloween II,1981,82495
Happy Birthday to Me,1981,82498
Heavy Metal,1981,82509
The Howling,1981,82533
The Road Warrior,1981,82694
Raiders of the Lost Ark,1981,82971
Reds,1981,82979
Sharky's Machine,1981,83064
Shock Treatment,1981,83067
Thief,1981,83190
48 Hrs.,1982,83511
Airplane II: The Sequel,1982,83530
Basket Case,1982,83624
Blade Runner,1982,83658
Cat People,1982,83722
Diner,1982,83833
E.T. the Extra-Terrestrial,1982,83866
The Evil Dead,1981,83907
Fast Times at Ridgemont High,1982,83929
First Blood,1982,83944
Frances,1982,83967
Friday the 13th Part III,1982,83972
Gandhi,1982,83987
Monty Python Live at the Hollywood Bowl,1982,84352
An Officer and a Gentleman,1982,84434
Personal Best,1982,84489
Poltergeist,1982,84516
Porky's,1981,84522
Rocky III,1982,84602
Star Trek II: The Wrath of Khan,1982,84726
The Thing,1982,84787
Tootsie,1982,84805
Tron,1982,84827
The Verdict,1982,84855
The Big Chill,1983,85244
Christine,1983,85333
A Christmas Story,1983,85334
Class,1983,85346
The Dead Zone,1983,85407
Flashdance,1983,85549
The King of Comedy,1982,85794
Krull,1983,85811
The Meaning of Life,1983,85959
National Lampoon's Vacation,1983,85995
Octopussy,1983,86034
The Outsiders,1983,86066
The Ploughman's Lunch,1983,86122
Star Wars: Episode VI - Return of the Jedi,1983,86190
Scarface,1983,86250
Silkwood,1983,86312
Something Wicked This Way Comes,1983,86336
Superman III,1983,86393
Terms of Endearment,1983,86425
Under Fire,1983,86510
2010: The Year We Make Contact,1984,86837
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,86856
Amadeus,1984,86879
Bachelor Party,1984,86927
Beverly Hills Cop,1984,86960
Blood Simple,1984,86979
Children of the Corn,1984,87050
Dune,1984,87182
Ghostbusters,1984,87332
Godzilla 1985,1985,87344
Gremlins,1984,87363
Indiana Jones and the Temple of Doom,1984,87469
The Karate Kid,1984,87538
A Nightmare on Elm Street,1984,87800
Once Upon a Time in America,1984,87843
Police Academy,1984,87928
Purple Rain,1984,87957
Red Dawn,1984,87985
Revenge of the Nerds,1984,88000
Romancing the Stone,1984,88011
Sixteen Candles,1984,88128
A Soldier's Story,1984,88146
Star Trek III: The Search for Spock,1984,88170
Starman,1984,88172
Stranger Than Paradise,1984,88184
Supergirl,1984,88206
The Terminator,1984,88247
This Is Spinal Tap,1984,88258
The NeverEnding Story,1984,88323
Agnes of God,1985,88683
Back to the Future,1985,88763
Brazil,1985,88846
The Breakfast Club,1985,88847
Clue,1985,88930
Cocoon,1985,88933
Code of Silence,1985,88936
