character,movie,mbti,href,year,notes,id,mbti_vote,mbti_count,big5_vote,big5_count
Seth Plummer,the pacifier,ISFP,https://www.personality-database.com/profile/138338/seth-plummer-the-pacifier-2005-mbti-personality-type,2005.0,,395699.0,ISFP(4),5 Votes,XXXX(0),0 Votes
Shane Wolfe,the pacifier,ISTJ,https://www.personality-database.com/profile/138336/shane-wolfe-the-pacifier-2005-mbti-personality-type,2005.0,,395699.0,ISTJ(7),8 Votes,XXXX(0),0 Votes
Anne Stewart,the others,ENTP,https://www.personality-database.com/profile/134746/anne-stewart-the-others-2001-mbti-personality-type,2001.0,,230600.0,ENTP(14),23 Votes,SCUEI(2),3 Votes
Mrs. Bertha Mills,the others,INFJ,https://www.personality-database.com/profile/134748/mrs-bertha-mills-the-others-2001-mbti-personality-type,2001.0,,230600.0,INFJ(11),13 Votes,RCOAI(1),1 Votes
Nicholas Stewart,the others,INFP,https://www.personality-database.com/profile/134747/nicholas-stewart-the-others-2001-mbti-personality-type,2001.0,,230600.0,INFP(8),14 Votes,RLOAN(1),3 Votes
Lydia,the others,ISFP,https://www.personality-database.com/profile/339523/lydia-the-others-2001-mbti-personality-type,2001.0,,230600.0,ISFP(3),3 Votes,XXXX(0),0 Votes
Grace Stewart,the others,ISTJ,https://www.personality-database.com/profile/134745/grace-stewart-the-others-2001-mbti-personality-type,2001.0,,230600.0,ISTJ(21),31 Votes,RLOAN(2),4 Votes
Mr. Edmund Tuttle,the others,ISTP,https://www.personality-database.com/profile/339918/mr-edmund-tuttle-the-others-2001-mbti-personality-type,2001.0,,230600.0,ISTP(4),5 Votes,XXXX(0),0 Votes
Marie Desalle,high fidelity,ENTP,https://www.personality-database.com/profile/132857/marie-desalle-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ENTP(3),7 Votes,SLUAN(1),1 Votes
Barry,high fidelity,ENTP,https://www.personality-database.com/profile/132856/barry-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ENTP(7),12 Votes,XXXX(0),0 Votes
Liz,high fidelity,ESFJ,https://www.personality-database.com/profile/132859/liz-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ESFJ(3),3 Votes,XXXX(0),0 Votes
Charlie Nicholson,high fidelity,ESTP,https://www.personality-database.com/profile/132858/charlie-nicholson-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ESTP(8),17 Votes,SCUEI(2),2 Votes
Rob Gordon,high fidelity,INFP,https://www.personality-database.com/profile/132853/rob-gordon-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,INFP(16),38 Votes,RLUEI(2),3 Votes
Dick,high fidelity,ISFJ,https://www.personality-database.com/profile/132855/dick-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ISFJ(3),6 Votes,XXXX(0),0 Votes
Laura,high fidelity,ISFJ,https://www.personality-database.com/profile/132854/laura-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ISFJ(5),7 Votes,XXXX(0),0 Votes
Harry Doyle,major league,ENTP,https://www.personality-database.com/profile/130559/harry-doyle-major-league-1989-mbti-personality-type,1989.0,,97815.0,ENTP(2),2 Votes,XXXX(0),0 Votes
Roger Dorn,major league,ESTP,https://www.personality-database.com/profile/8536/roger-dorn-major-league-1989-mbti-personality-type,1989.0,,97815.0,ESTP(6),6 Votes,XXXX(0),0 Votes
Lynn Weslin,major league,INFJ,https://www.personality-database.com/profile/130750/lynn-weslin-major-league-1989-mbti-personality-type,1989.0,,97815.0,INFJ(1),1 Votes,XXXX(0),0 Votes
Pedro Cerrano,major league,ISFP,https://www.personality-database.com/profile/8538/pedro-cerrano-major-league-1989-mbti-personality-type,1989.0,,97815.0,ISFP(6),6 Votes,XXXX(0),0 Votes
Charlie Donovan,major league,ISTJ,https://www.personality-database.com/profile/134845/charlie-donovan-major-league-1989-mbti-personality-type,1989.0,,97815.0,ISTJ(1),1 Votes,XXXX(0),0 Votes
Ed Harris,major league,ISTJ,https://www.personality-database.com/profile/125569/ed-harris-major-league-1989-mbti-personality-type,1989.0,,97815.0,ISTJ(2),2 Votes,XXXX(0),0 Votes
Ricky Vaughn,major league,ISTP,https://www.personality-database.com/profile/8534/ricky-vaughn-major-league-1989-mbti-personality-type,1989.0,,97815.0,ISTP(5),5 Votes,XXXX(0),0 Votes
Samuel Fanning,the babadook,ENTP,https://www.personality-database.com/profile/118961/samuel-fanning-the-babadook-2014-mbti-personality-type,2014.0,,2321549.0,ENTP(22),25 Votes,SLUEI(4),4 Votes
Claire,the babadook,ESTJ,https://www.personality-database.com/profile/145448/claire-the-babadook-2014-mbti-personality-type,2014.0,,2321549.0,ESTJ(2),2 Votes,XXXX(0),0 Votes
Babadook,the babadook,INTJ,https://www.personality-database.com/profile/145447/babadook-the-babadook-2014-mbti-personality-type,2014.0,,2321549.0,INTJ(14),18 Votes,XXXX(0),0 Votes
John McBurney,the beguiled,ENTP,https://www.personality-database.com/profile/111080/john-mcburney-the-beguiled-1971-mbti-personality-type,1971.0,,66819.0,ENTP(2),2 Votes,XXXX(0),0 Votes
Miss Casswell,all about eve,ENTP,https://www.personality-database.com/profile/109059/miss-casswell-all-about-eve-1950-mbti-personality-type,1950.0,,42192.0,ENTP(2),2 Votes,XXXX(0),0 Votes
Margo Channing,all about eve,ESFP,https://www.personality-database.com/profile/11192/margo-channing-all-about-eve-1950-mbti-personality-type,1950.0,,42192.0,ESFP(12),15 Votes,SLUEN(1),1 Votes
Eve Harrington,all about eve,INFJ,https://www.personality-database.com/profile/11191/eve-harrington-all-about-eve-1950-mbti-personality-type,1950.0,,42192.0,INFJ(15),22 Votes,XXXX(0),0 Votes
Addison DeWitt,all about eve,INTJ,https://www.personality-database.com/profile/109058/addison-dewitt-all-about-eve-1950-mbti-personality-type,1950.0,,42192.0,INTJ(6),9 Votes,XXXX(0),0 Votes
Frank Mercer,matchstick men,ENTP,https://www.personality-database.com/profile/95527/frank-mercer-matchstick-men-2003-mbti-personality-type,2003.0,,325805.0,ENTP(2),2 Votes,XXXX(0),0 Votes
Angela,matchstick men,ESFP,https://www.personality-database.com/profile/95528/angela-matchstick-men-2003-mbti-personality-type,2003.0,,325805.0,ESFP(2),2 Votes,XXXX(0),0 Votes
"Randall ""Memphis"" Raines",gone in 60 seconds,ENTP,https://www.personality-database.com/profile/93651/randall-memphis-raines-gone-in-60-seconds-2000-mbti-personality-type,2000.0,,187078.0,ENTP(4),4 Votes,XXXX(0),0 Votes
Tumbler,gone in 60 seconds,ESFP,https://www.personality-database.com/profile/93658/tumbler-gone-in-60-seconds-2000-mbti-personality-type,2000.0,,187078.0,ESFP(1),1 Votes,XXXX(0),0 Votes
Detective Drycoff,gone in 60 seconds,ESFP,https://www.personality-database.com/profile/93657/detective-drycoff-gone-in-60-seconds-2000-mbti-personality-type,2000.0,,187078.0,ESFP(1),1 Votes,XXXX(0),0 Votes
Raymond Calitri,gone in 60 seconds,INFJ,https://www.personality-database.com/profile/93656/raymond-calitri-gone-in-60-seconds-2000-mbti-personality-type,2000.0,,187078.0,INFJ(1),1 Votes,XXXX(0),0 Votes
Detective Roland Castlebeck,gone in 60 seconds,INTJ,https://www.personality-database.com/profile/93655/detective-roland-castlebeck-gone-in-60-seconds-2000-mbti-personality-type,2000.0,,187078.0,INTJ(1),1 Votes,XXXX(0),0 Votes
Sphinx,gone in 60 seconds,INTP,https://www.personality-database.com/profile/93659/sphinx-gone-in-60-seconds-2000-mbti-personality-type,2000.0,,187078.0,INTP(2),2 Votes,XXXX(0),0 Votes
Wayne Gale,natural born killers,ENTP,https://www.personality-database.com/profile/93219/wayne-gale-natural-born-killers-1994-mbti-personality-type,1994.0,,110632.0,ENTP(15),15 Votes,XXXX(0),0 Votes
Mallory Knox,natural born killers,ESFP,https://www.personality-database.com/profile/93216/mallory-knox-natural-born-killers-1994-mbti-personality-type,1994.0,,110632.0,ESFP(18),21 Votes,SLUEI(3),3 Votes
Jack Scagnetti,natural born killers,ESTP,https://www.personality-database.com/profile/113384/jack-scagnetti-natural-born-killers-1994-mbti-personality-type,1994.0,,110632.0,ESTP(7),7 Votes,XXXX(0),0 Votes
Dwight McClusky,natural born killers,ESTJ,https://www.personality-database.com/profile/93223/dwight-mcclusky-natural-born-killers-1994-mbti-personality-type,1994.0,,110632.0,ISTJ(6),12 Votes,XXXX(0),0 Votes
Mickey Knox,natural born killers,ISTP,https://www.personality-database.com/profile/93215/mickey-knox-natural-born-killers-1994-mbti-personality-type,1994.0,,110632.0,ISTP(18),22 Votes,RCUEN(1),1 Votes
"Professor Gregory ""Gregg"" O'Hara",mighty joe young,ENTP,https://www.personality-database.com/profile/92220/professor-gregory-gregg-ohara-mighty-joe-young-1998-mbti-personality-type,1998.0,,120751.0,ENTP(1),1 Votes,XXXX(0),0 Votes
Joe Young,mighty joe young,INFP,https://www.personality-database.com/profile/320355/joe-young-mighty-joe-young-1998-mbti-personality-type,1998.0,,120751.0,INFP(2),2 Votes,XXXX(0),0 Votes
"Ernie ""Chip"" Douglas ""Cable Guy""",the cable guy,ENTP,https://www.personality-database.com/profile/92037/ernie-chip-douglas-cable-guy-the-cable-guy-1996-mbti-personality-type,1996.0,,115798.0,ENTP(14),23 Votes,SLUEI(1),1 Votes
Steven M. Kovacs,the cable guy,ISFJ,https://www.personality-database.com/profile/92038/steven-m-kovacs-the-cable-guy-1996-mbti-personality-type,1996.0,,115798.0,ISFJ(3),6 Votes,XXXX(0),0 Votes
Robin Harris,the cable guy,ISFP,https://www.personality-database.com/profile/92039/robin-harris-the-cable-guy-1996-mbti-personality-type,1996.0,,115798.0,ISFP(2),3 Votes,XXXX(0),0 Votes
Rick Lagados,the cable guy,ISTP,https://www.personality-database.com/profile/92040/rick-lagados-the-cable-guy-1996-mbti-personality-type,1996.0,,115798.0,ISTP(2),2 Votes,XXXX(0),0 Votes
Alex Law,shallow grave,ENTP,https://www.personality-database.com/profile/91988/alex-law-shallow-grave-1994-mbti-personality-type,1994.0,,111149.0,ENTP(18),21 Votes,SLUEI(3),3 Votes
Hugo,shallow grave,INFJ,https://www.personality-database.com/profile/91991/hugo-shallow-grave-1994-mbti-personality-type,1994.0,,111149.0,INFJ(2),2 Votes,XXXX(0),0 Votes
Juliet Miller,shallow grave,ISFP,https://www.personality-database.com/profile/91990/juliet-miller-shallow-grave-1994-mbti-personality-type,1994.0,,111149.0,ISFP(6),7 Votes,RCUEN(1),1 Votes
David Stephens,shallow grave,ISTJ,https://www.personality-database.com/profile/91989/david-stephens-shallow-grave-1994-mbti-personality-type,1994.0,,111149.0,ISTJ(10),11 Votes,RLOEN(1),1 Votes
Cameron,shallow grave,ISTJ,https://www.personality-database.com/profile/91992/cameron-shallow-grave-1994-mbti-personality-type,1994.0,,111149.0,ISTJ(1),1 Votes,XXXX(0),0 Votes
Watts,some kind of wonderful,ENTP,https://www.personality-database.com/profile/91230/watts-some-kind-of-wonderful-1987-mbti-personality-type,1987.0,,94006.0,ENTP(5),8 Votes,XXXX(0),0 Votes
Richard Jewell,richard jewell,ESFJ,https://www.personality-database.com/profile/90218/richard-jewell-richard-jewell-2019-mbti-personality-type,2019.0,,3513548.0,ESFJ(11),15 Votes,SCOAN(1),1 Votes
Kathy Scruggs,richard jewell,ESTP,https://www.personality-database.com/profile/90220/kathy-scruggs-richard-jewell-2019-mbti-personality-type,2019.0,,3513548.0,ESTP(10),10 Votes,SCUEI(1),1 Votes
Bobi Jewell,richard jewell,ISFJ,https://www.personality-database.com/profile/90375/bobi-jewell-richard-jewell-2019-mbti-personality-type,2019.0,,3513548.0,ISFJ(5),5 Votes,XXXX(0),0 Votes
Tom Shaw,richard jewell,ISTP,https://www.personality-database.com/profile/90376/tom-shaw-richard-jewell-2019-mbti-personality-type,2019.0,,3513548.0,ISTP(4),6 Votes,RCOEN(1),1 Votes
Mr. MacCarthy,me and earl and the dying girl,ENTP,https://www.personality-database.com/profile/87880/mr-maccarthy-me-and-earl-and-the-dying-girl-2015-mbti-personality-type,2015.0,,2582496.0,ENTP(3),5 Votes,XXXX(0),0 Votes
Madison,me and earl and the dying girl,ESFJ,https://www.personality-database.com/profile/87881/madison-me-and-earl-and-the-dying-girl-2015-mbti-personality-type,2015.0,,2582496.0,ESFJ(5),6 Votes,XXXX(0),0 Votes
Ill Phil,me and earl and the dying girl,ESFP,https://www.personality-database.com/profile/380543/ill-phil-me-and-earl-and-the-dying-girl-2015-mbti-personality-type,2015.0,,2582496.0,ESFP(1),1 Votes,SLUEN(1),1 Votes
Rachel,me and earl and the dying girl,INFP,https://www.personality-database.com/profile/55447/rachel-me-and-earl-and-the-dying-girl-2015-mbti-personality-type,2015.0,,2582496.0,INFP(15),17 Votes,RLOAI(2),2 Votes
Greg Gaines,me and earl and the dying girl,INTP,https://www.personality-database.com/profile/55445/greg-gaines-me-and-earl-and-the-dying-girl-2015-mbti-personality-type,2015.0,,2582496.0,INTP(31),36 Votes,RLUAI(1),2 Votes
Earl,me and earl and the dying girl,ISTP,https://www.personality-database.com/profile/55446/earl-me-and-earl-and-the-dying-girl-2015-mbti-personality-type,2015.0,,2582496.0,ISTP(19),23 Votes,RCUAN(1),1 Votes
Salvatore Di Vita,cinema paradiso,ENTP,https://www.personality-database.com/profile/87139/salvatore-di-vita-cinema-paradiso-1988-mbti-personality-type,1988.0,,95765.0,ENTP(20),28 Votes,RCUEI(1),1 Votes
Father Adelfio,cinema paradiso,ESFJ,https://www.personality-database.com/profile/252654/father-adelfio-cinema-paradiso-1988-mbti-personality-type,1988.0,,95765.0,ESFJ(1),1 Votes,XXXX(0),0 Votes
Elena Mendola,cinema paradiso,INFJ,https://www.personality-database.com/profile/87141/elena-mendola-cinema-paradiso-1988-mbti-personality-type,1988.0,,95765.0,INFJ(7),9 Votes,XXXX(0),0 Votes
Alfredo,cinema paradiso,ISFP,https://www.personality-database.com/profile/87140/alfredo-cinema-paradiso-1988-mbti-personality-type,1988.0,,95765.0,ISFP(10),12 Votes,XXXX(0),0 Votes
Maria Di Vita,cinema paradiso,ISTJ,https://www.personality-database.com/profile/99583/maria-di-vita-cinema-paradiso-1988-mbti-personality-type,1988.0,,95765.0,ISTJ(4),6 Votes,XXXX(0),0 Votes
Paul Abel,underwater,ENTP,https://www.personality-database.com/profile/83010/paul-abel-underwater-2020-mbti-personality-type,2020.0,,5774060.0,ENTP(5),7 Votes,XXXX(0),0 Votes
Lee Miller,underwater,ESFJ,https://www.personality-database.com/profile/83009/lee-miller-underwater-2020-mbti-personality-type,2020.0,,5774060.0,ESFJ(1),1 Votes,XXXX(0),0 Votes
Captain Lucien,underwater,ESTP,https://www.personality-database.com/profile/83007/captain-lucien-underwater-2020-mbti-personality-type,2020.0,,5774060.0,ESTP(2),3 Votes,XXXX(0),0 Votes
Emily Haversham,underwater,ISFJ,https://www.personality-database.com/profile/83008/emily-haversham-underwater-2020-mbti-personality-type,2020.0,,5774060.0,ISFJ(3),3 Votes,XXXX(0),0 Votes
Norah Price,underwater,ISTP,https://www.personality-database.com/profile/83006/norah-price-underwater-2020-mbti-personality-type,2020.0,,5774060.0,ISTP(11),22 Votes,XXXX(0),0 Votes
Collins,dunkirk,ENTP,https://www.personality-database.com/profile/82310/collins-dunkirk-2017-mbti-personality-type,2017.0,,5013056.0,ENTP(6),7 Votes,XXXX(0),0 Votes
Commander Bolton,dunkirk,ESFJ,https://www.personality-database.com/profile/82316/commander-bolton-dunkirk-2017-mbti-personality-type,2017.0,,5013056.0,ESFJ(5),9 Votes,XXXX(0),0 Votes
Peter,dunkirk,ESFP,https://www.personality-database.com/profile/82309/peter-dunkirk-2017-mbti-personality-type,2017.0,,5013056.0,ESFP(6),8 Votes,XXXX(0),0 Votes
Alex,dunkirk,ESTJ,https://www.personality-database.com/profile/82311/alex-dunkirk-2017-mbti-personality-type,2017.0,,5013056.0,ESTJ(14),28 Votes,SLUEN(2),2 Votes
Shivering Soldier,dunkirk,ESTP,https://www.personality-database.com/profile/82317/shivering-soldier-dunkirk-2017-mbti-personality-type,2017.0,,5013056.0,ESTP(8),15 Votes,XXXX(0),0 Votes
Gibson,dunkirk,INFJ,https://www.personality-database.com/profile/82312/gibson-dunkirk-2017-mbti-personality-type,2017.0,,5013056.0,INFJ(8),8 Votes,RLOAI(1),1 Votes
Farrier,dunkirk,ISTP,https://www.personality-database.com/profile/82319/farrier-dunkirk-2017-mbti-personality-type,2017.0,,5013056.0,ISTP(12),15 Votes,XXXX(0),0 Votes
Daryl Van Horne,the witches of eastwick,ENTP,https://www.personality-database.com/profile/80456/daryl-van-horne-the-witches-of-eastwick-1987-mbti-personality-type,1987.0,,94332.0,ENTP(6),8 Votes,XXXX(0),0 Votes
Felicia Alden,the witches of eastwick,ESFJ,https://www.personality-database.com/profile/80461/felicia-alden-the-witches-of-eastwick-1987-mbti-personality-type,1987.0,,94332.0,ESFJ(2),3 Votes,XXXX(0),0 Votes
Jane Spofford,the witches of eastwick,INFJ,https://www.personality-database.com/profile/80458/jane-spofford-the-witches-of-eastwick-1987-mbti-personality-type,1987.0,,94332.0,INFJ(3),5 Votes,XXXX(0),0 Votes
Sukie Ridgemont,the witches of eastwick,INFP,https://www.personality-database.com/profile/80459/sukie-ridgemont-the-witches-of-eastwick-1987-mbti-personality-type,1987.0,,94332.0,INFP(5),7 Votes,XXXX(0),0 Votes
Clyde Alden,the witches of eastwick,ISFJ,https://www.personality-database.com/profile/80460/clyde-alden-the-witches-of-eastwick-1987-mbti-personality-type,1987.0,,94332.0,ISFJ(1),1 Votes,XXXX(0),0 Votes
Fletcher Reede,liar liar,ENTP,https://www.personality-database.com/profile/79918/fletcher-reede-liar-liar-1997-mbti-personality-type,1997.0,,119528.0,ENTP(39),44 Votes,SCUEI(3),5 Votes
Jerry,liar liar,ESFJ,https://www.personality-database.com/profile/404346/jerry-liar-liar-1997-mbti-personality-type,1997.0,,119528.0,ESFJ(4),4 Votes,SCOAN(1),1 Votes
Samantha Cole,liar liar,ESFP,https://www.personality-database.com/profile/79920/samantha-cole-liar-liar-1997-mbti-personality-type,1997.0,,119528.0,ESFP(4),5 Votes,SCUEN(1),1 Votes
Judge Marshall Stevens,liar liar,ESTJ,https://www.personality-database.com/profile/79922/judge-marshall-stevens-liar-liar-1997-mbti-personality-type,1997.0,,119528.0,ESTJ(4),4 Votes,RCOEN(1),1 Votes
Miranda,liar liar,ESTJ,https://www.personality-database.com/profile/79921/miranda-liar-liar-1997-mbti-personality-type,1997.0,,119528.0,ESTJ(6),8 Votes,SCOEN(2),2 Votes
Max Reede,liar liar,INFP,https://www.personality-database.com/profile/133930/max-reede-liar-liar-1997-mbti-personality-type,1997.0,,119528.0,INFP(6),6 Votes,RLUAI(1),1 Votes
Audrey Reede,liar liar,ISFJ,https://www.personality-database.com/profile/79919/audrey-reede-liar-liar-1997-mbti-personality-type,1997.0,,119528.0,ISFJ(8),10 Votes,RCOAN(2),2 Votes
Greta,liar liar,ISTJ,https://www.personality-database.com/profile/511730/greta-liar-liar-1997-mbti-personality-type,1997.0,,119528.0,ISTJ(1),1 Votes,XXXX(0),0 Votes
Nick Naylor,thank you for smoking,ENTP,https://www.personality-database.com/profile/74845/nick-naylor-thank-you-for-smoking-2005-mbti-personality-type,2005.0,,427944.0,ENTP(15),19 Votes,SCUEI(1),1 Votes
Ted,sixteen candles,ENTP,https://www.personality-database.com/profile/59623/ted-sixteen-candles-1984-mbti-personality-type,1984.0,,88128.0,ENTP(15),18 Votes,SCUEI(1),1 Votes
Ginny Baker,sixteen candles,ESFJ,https://www.personality-database.com/profile/59628/ginny-baker-sixteen-candles-1984-mbti-personality-type,1984.0,,88128.0,ESFJ(3),4 Votes,XXXX(0),0 Votes
Randy,sixteen candles,ESFP,https://www.personality-database.com/profile/59634/randy-sixteen-candles-1984-mbti-personality-type,1984.0,,88128.0,ESFP(1),1 Votes,XXXX(0),0 Votes
Long Duk Dong,sixteen candles,ESFP,https://www.personality-database.com/profile/59631/long-duk-dong-sixteen-candles-1984-mbti-personality-type,1984.0,,88128.0,ESFP(3),3 Votes,XXXX(0),0 Votes
Caroline Mulford,sixteen candles,ESTP,https://www.personality-database.com/profile/59627/caroline-mulford-sixteen-candles-1984-mbti-personality-type,1984.0,,88128.0,ESTP(2),3 Votes,SCOEN(1),1 Votes
Mike Baker,sixteen candles,ESTP,https://www.personality-database.com/profile/59626/mike-baker-sixteen-candles-1984-mbti-personality-type,1984.0,,88128.0,ESTP(2),4 Votes,XXXX(0),0 Votes
Jim Baker,sixteen candles,ISFJ,https://www.personality-database.com/profile/59624/jim-baker-sixteen-candles-1984-mbti-personality-type,1984.0,,88128.0,ISFJ(2),3 Votes,XXXX(0),0 Votes
Jake Ryan,sixteen candles,ISFP,https://www.personality-database.com/profile/59622/jake-ryan-sixteen-candles-1984-mbti-personality-type,1984.0,,88128.0,ISFP(7),7 Votes,XXXX(0),0 Votes
"Samantha ""Sam"" Baker",sixteen candles,ISFP,https://www.personality-database.com/profile/59621/samantha-sam-baker-sixteen-candles-1984-mbti-personality-type,1984.0,,88128.0,ISFP(24),48 Votes,RLUEN(2),3 Votes
Simon Phoenix,demolition man,ENTP,https://www.personality-database.com/profile/54346/simon-phoenix-demolition-man-1993-mbti-personality-type,1993.0,,106697.0,ENTP(9),9 Votes,SLUEI(1),1 Votes
Lieutenant Lenina Huxley,demolition man,ESFJ,https://www.personality-database.com/profile/54347/lieutenant-lenina-huxley-demolition-man-1993-mbti-personality-type,1993.0,,106697.0,ESFJ(5),5 Votes,XXXX(0),0 Votes
"Sergeant John Spartan / ""The Demolition Man""",demolition man,ISTP,https://www.personality-database.com/profile/54345/sergeant-john-spartan-the-demolition-man-demolition-man-1993-mbti-personality-type,1993.0,,106697.0,ISTP(7),8 Votes,RCUEN(1),1 Votes
Jake Jensen,the losers,ENTP,https://www.personality-database.com/profile/51710/jake-jensen-the-losers-2010-mbti-personality-type,2010.0,,480255.0,ENTP(8),11 Votes,XXXX(0),0 Votes
"Linwood ""Pooch"" Porteous",the losers,ESFP,https://www.personality-database.com/profile/51714/linwood-pooch-porteous-the-losers-2010-mbti-personality-type,2010.0,,480255.0,ESFP(2),3 Votes,XXXX(0),0 Votes
Aisha al-Fadhil,the losers,INTJ,https://www.personality-database.com/profile/51713/aisha-alfadhil-the-losers-2010-mbti-personality-type,2010.0,,480255.0,INTJ(3),5 Votes,XXXX(0),0 Votes
"Carlos ""Cougar"" Alvarez",the losers,ISTP,https://www.personality-database.com/profile/51711/carlos-cougar-alvarez-the-losers-2010-mbti-personality-type,2010.0,,480255.0,ISTP(2),4 Votes,XXXX(0),0 Votes
Chuck Steinberg,scary stories to tell in the dark,ENTP,https://www.personality-database.com/profile/50105/chuck-steinberg-scary-stories-to-tell-in-the-dark-2019-mbti-personality-type,2019.0,,3387520.0,ENTP(11),14 Votes,XXXX(0),0 Votes
Ruth Steinberg,scary stories to tell in the dark,ESFJ,https://www.personality-database.com/profile/205759/ruth-steinberg-scary-stories-to-tell-in-the-dark-2019-mbti-personality-type,2019.0,,3387520.0,ESFJ(5),8 Votes,XXXX(0),0 Votes
Tommy Milner,scary stories to tell in the dark,ESTP,https://www.personality-database.com/profile/50104/tommy-milner-scary-stories-to-tell-in-the-dark-2019-mbti-personality-type,2019.0,,3387520.0,ESTP(7),9 Votes,XXXX(0),0 Votes
"Louise ""Lou Lou"" Baptiste",scary stories to tell in the dark,INFJ,https://www.personality-database.com/profile/205762/louise-lou-lou-baptiste-scary-stories-to-tell-in-the-dark-2019-mbti-personality-type,2019.0,,3387520.0,INFJ(1),1 Votes,XXXX(0),0 Votes
Stella Nicholls,scary stories to tell in the dark,INFP,https://www.personality-database.com/profile/50103/stella-nicholls-scary-stories-to-tell-in-the-dark-2019-mbti-personality-type,2019.0,,3387520.0,INFP(10),14 Votes,XXXX(0),0 Votes
Sarah Bellows,scary stories to tell in the dark,ISFP,https://www.personality-database.com/profile/205760/sarah-bellows-scary-stories-to-tell-in-the-dark-2019-mbti-personality-type,2019.0,,3387520.0,ISFP(2),3 Votes,XXXX(0),0 Votes
Ramon Morales,scary stories to tell in the dark,ISFP,https://www.personality-database.com/profile/113722/ramon-morales-scary-stories-to-tell-in-the-dark-2019-mbti-personality-type,2019.0,,3387520.0,ISFP(9),18 Votes,RCOAN(1),1 Votes
Auggie Hilderbrandt,scary stories to tell in the dark,ISTJ,https://www.personality-database.com/profile/50106/auggie-hilderbrandt-scary-stories-to-tell-in-the-dark-2019-mbti-personality-type,2019.0,,3387520.0,ISTJ(7),10 Votes,XXXX(0),0 Votes
Walter,prince of darkness,ENTP,https://www.personality-database.com/profile/49817/walter-prince-of-darkness-1987-mbti-personality-type,1987.0,,93777.0,ENTP(1),1 Votes,XXXX(0),0 Votes
Priest,prince of darkness,INFJ,https://www.personality-database.com/profile/49813/priest-prince-of-darkness-1987-mbti-personality-type,1987.0,,93777.0,INFJ(3),3 Votes,XXXX(0),0 Votes
Catherine Danforth,prince of darkness,INTP,https://www.personality-database.com/profile/49816/catherine-danforth-prince-of-darkness-1987-mbti-personality-type,1987.0,,93777.0,INTP(2),3 Votes,XXXX(0),0 Votes
Professor Howard Birack,prince of darkness,INTP,https://www.personality-database.com/profile/49814/professor-howard-birack-prince-of-darkness-1987-mbti-personality-type,1987.0,,93777.0,INTP(2),2 Votes,XXXX(0),0 Votes
Brian Marsh,prince of darkness,ISTJ,https://www.personality-database.com/profile/49815/brian-marsh-prince-of-darkness-1987-mbti-personality-type,1987.0,,93777.0,ISTJ(1),1 Votes,XXXX(0),0 Votes
Enrico 'Ratso' Rizzo,midnight cowboy,ENTP,https://www.personality-database.com/profile/47663/enrico-ratso-rizzo-midnight-cowboy-1969-mbti-personality-type,1969.0,,64665.0,ENTP(11),12 Votes,XXXX(0),0 Votes
Joe Buck,midnight cowboy,ESFP,https://www.personality-database.com/profile/47662/joe-buck-midnight-cowboy-1969-mbti-personality-type,1969.0,,64665.0,ESFP(11),12 Votes,XXXX(0),0 Votes
Little Bill Daggett,unforgiven,ESTJ,https://www.personality-database.com/profile/44592/little-bill-daggett-unforgiven-1992-mbti-personality-type,1992.0,,105695.0,ESTJ(18),20 Votes,XXXX(0),0 Votes
Ned Logan,unforgiven,INFJ,https://www.personality-database.com/profile/44593/ned-logan-unforgiven-1992-mbti-personality-type,1992.0,,105695.0,INFJ(8),14 Votes,XXXX(0),0 Votes
W. W. Beauchamp,unforgiven,INTP,https://www.personality-database.com/profile/210672/w-w-beauchamp-unforgiven-1992-mbti-personality-type,1992.0,,105695.0,INTP(8),12 Votes,XXXX(0),0 Votes
"William ""Will"" Munny",unforgiven,ISTP,https://www.personality-database.com/profile/44591/william-will-munny-unforgiven-1992-mbti-personality-type,1992.0,,105695.0,ISTP(23),26 Votes,RCUEN(1),2 Votes
Will Keane,autumn in new york,ENTP,https://www.personality-database.com/profile/43260/will-keane-autumn-in-new-york-2000-mbti-personality-type,2000.0,,174480.0,ENTP(4),5 Votes,XXXX(0),0 Votes
Conrad,the game,ENTP,https://www.personality-database.com/profile/41500/conrad-the-game-1997-mbti-personality-type,1997.0,,119174.0,ENTP(14),16 Votes,SLUEI(1),1 Votes
Claire/Christine,the game,ISTP,https://www.personality-database.com/profile/41499/clairechristine-the-game-1997-mbti-personality-type,1997.0,,119174.0,ISTP(16),16 Votes,XXXX(0),0 Votes
Willy Beachum,fracture,ENTP,https://www.personality-database.com/profile/41214/willy-beachum-fracture-2007-mbti-personality-type,2007.0,,488120.0,ENTP(6),10 Votes,SLOEN(1),1 Votes
Ted Crawford,fracture,INTJ,https://www.personality-database.com/profile/41213/ted-crawford-fracture-2007-mbti-personality-type,2007.0,,488120.0,INTJ(13),14 Votes,RCOEI(1),1 Votes
