movie,year,id
car wash,1976.0,74281
carrie,1976.0,74285
eraserhead,1977.0,74486
cross of iron,1977.0,74695
logan's run,1976.0,74812
mikey and nicky,1976.0,74901
network,1976.0,74958
the omen,1976.0,75005
rocky,1976.0,75148
taxi driver,1976.0,75314
annie hall,1977.0,75686
close encounters of the third kind,1977.0,75860
exorcist ii: the heretic,1977.0,76009
the goodbye girl,1977.0,76095
julia,1977.0,76245
rabid,1977.0,76590
smokey and the bandit,1977.0,76729
the spy who loved me,1977.0,76752
star wars: episode iv - a new hope,1977.0,76759
which way is up?,1977.0,76913
coming home,1978.0,77362
dawn of the dead,1978.0,77402
days of heaven,1978.0,77405
the deer hunter,1978.0,77416
the driver,1978.0,77474
grease,1978.0,77631
halloween,1978.0,77651
heaven can wait,1978.0,77663
the hills have eyes,1977.0,77681
invasion of the body snatchers,1978.0,77745
jaws 2,1978.0,77766
the lord of the rings,1978.0,77869
midnight express,1978.0,77928
superman,1978.0,78346
an unmarried woman,1978.0,78444
alien,1979.0,78748
the amityville horror,1979.0,78767
apocalypse now,1979.0,78788
being there,1979.0,78841
breaking away,1979.0,78902
the great train robbery,1978.0,79240
hardcore,1979.0,79271
the jerk,1979.0,79367
kramer vs. kramer,1979.0,79417
meatballs,1979.0,79540
norma rae,1979.0,79638
rocky ii,1979.0,79817
star trek: the motion picture,1979.0,79945
the warriors,1979.0,80120
when a stranger calls,1979.0,80130
zulu dawn,1979.0,80180
9 to 5,1980.0,80319
airplane!,1980.0,80339
the blues brothers,1980.0,80455
caddyshack,1980.0,80487
du zhou,1985.0,80583
dressed to kill,1980.0,80661
the elephant man,1980.0,80678
star wars: episode v - the empire strikes back,1980.0,80684
flash gordon,1980.0,80745
the fog,1980.0,80749
friday the 13th,1980.0,80761
melvin and howard,1980.0,81150
ordinary people,1980.0,81283
prom night,1980.0,81383
raging bull,1980.0,81398
scanners,1981.0,81455
the shining,1980.0,81505
the stunt man,1980.0,81568
superman ii,1980.0,81573
time bandits,1981.0,81633
an american werewolf in london,1981.0,82010
body heat,1981.0,82089
dragonslayer,1981.0,82288
escape from new york,1981.0,82340
excalibur,1981.0,82348
for your eyes only,1981.0,82398
the great muppet caper,1981.0,82474
halloween ii,1981.0,82495
happy birthday to me,1981.0,82498
heavy metal,1981.0,82509
the howling,1981.0,82533
the road warrior,1981.0,82694
raiders of the lost ark,1981.0,82971
reds,1981.0,82979
sharky's machine,1981.0,83064
shock treatment,1981.0,83067
thief,1981.0,83190
48 hrs.,1982.0,83511
airplane ii: the sequel,1982.0,83530
basket case,1982.0,83624
blade runner,1982.0,83658
cat people,1982.0,83722
diner,1982.0,83833
e.t. the extra-terrestrial,1982.0,83866
the evil dead,1981.0,83907
fast times at ridgemont high,1982.0,83929
first blood,1982.0,83944
frances,1982.0,83967
friday the 13th part iii,1982.0,83972
gandhi,1982.0,83987
monty python live at the hollywood bowl,1982.0,84352
an officer and a gentleman,1982.0,84434
personal best,1982.0,84489
poltergeist,1982.0,84516
porky's,1981.0,84522
rocky iii,1982.0,84602
star trek ii: the wrath of khan,1982.0,84726
the thing,1982.0,84787
tootsie,1982.0,84805
tron,1982.0,84827
the verdict,1982.0,84855
the big chill,1983.0,85244
christine,1983.0,85333
a christmas story,1983.0,85334
class,1983.0,85346
the dead zone,1983.0,85407
flashdance,1983.0,85549
the king of comedy,1982.0,85794
krull,1983.0,85811
the meaning of life,1983.0,85959
national lampoon's vacation,1983.0,85995
octopussy,1983.0,86034
the outsiders,1983.0,86066
the ploughman's lunch,1983.0,86122
star wars: episode vi - return of the jedi,1983.0,86190
scarface,1983.0,86250
silkwood,1983.0,86312
something wicked this way comes,1983.0,86336
superman iii,1983.0,86393
terms of endearment,1983.0,86425
under fire,1983.0,86510
2010: the year we make contact,1984.0,86837
the adventures of buckaroo banzai across the 8th dimension,1984.0,86856
amadeus,1984.0,86879
bachelor party,1984.0,86927
beverly hills cop,1984.0,86960
blood simple,1984.0,86979
children of the corn,1984.0,87050
dune,1984.0,87182
ghostbusters,1984.0,87332
godzilla 1985,1985.0,87344
gremlins,1984.0,87363
indiana jones and the temple of doom,1984.0,87469
the karate kid,1984.0,87538
a nightmare on elm street,1984.0,87800
once upon a time in america,1984.0,87843
police academy,1984.0,87928
purple rain,1984.0,87957
red dawn,1984.0,87985
revenge of the nerds,1984.0,88000
romancing the stone,1984.0,88011
sixteen candles,1984.0,88128
a soldier's story,1984.0,88146
star trek iii: the search for spock,1984.0,88170
starman,1984.0,88172
stranger than paradise,1984.0,88184
supergirl,1984.0,88206
the terminator,1984.0,88247
this is spinal tap,1984.0,88258
the neverending story,1984.0,88323
agnes of god,1985.0,88683
back to the future,1985.0,88763
brazil,1985.0,88846
the breakfast club,1985.0,88847
clue,1985.0,88930
cocoon,1985.0,88933
code of silence,1985.0,88936
the color purple,1985.0,88939
commando,1985.0,88944
day of the dead,1985.0,88993
deceptions,,89008
fletch,1985.0,89155
fright night,1985.0,89175
the goonies,1985.0,89218
jagged edge,1985.0,89360
kiss of the spider woman,1985.0,89424
ladyhawke,1985.0,89457
legend,1985.0,89469
lost in america,1985.0,89504
national lampoon's european vacation,1985.0,89670
a nightmare on elm street 2: freddy's revenge,1985.0,89686
police academy 2: their first assignment,1985.0,89822
rambo: first blood part ii,1985.0,89880
ran,1985.0,89881
real genius,1985.0,89886
the return of the living dead,1985.0,89907
rocky iv,1985.0,89927
silver bullet,1985.0,90021
silverado,1985.0,90022
st. elmo's fire,1985.0,90060
starchaser: the legend of orin,1985.0,90065
teen wolf,1985.0,90142
a view to a kill,1985.0,90264
witness,1985.0,90329
aliens,1986.0,90605
april fool's day,1986.0,90655
big trouble in little china,1986.0,90728
blue velvet,1986.0,90756
ferris bueller's day off,1986.0,91042
the fly,1986.0,91064
friday the 13th part vi: jason lives,1986.0,91080
hannah and her sisters,1986.0,91167
highlander,1986.0,91203
the hitcher,1986.0,91209
invaders from mars,1986.0,91276
"jo jo dancer, your life is calling",1986.0,91295
the karate kid part ii,1986.0,91326
labyrinth,1986.0,91369
little shop of horrors,1986.0,91419
manhunter,1986.0,91474
peggy sue got married,1986.0,91738
platoon,1986.0,91763
police academy 3: back in training,1986.0,91777
river's edge,1986.0,91860
running scared,1986.0,91875
stand by me,1986.0,92005
star trek iv: the voyage home,1986.0,92007
three amigos!,1986.0,92086
top gun,1986.0,92099
tough guys,1986.0,92105
the transformers: the movie,1986.0,92106
trick or treat,1986.0,92112
broadcast news,1987.0,92699
disorderlies,1987.0,92897
evil dead ii,1987.0,92991
fatal attraction,1987.0,93010
full metal jacket,1987.0,93058
hellraiser,1987.0,93177
hope and glory,1987.0,93209
innerspace,1987.0,93260
lethal weapon,1987.0,93409
like father like son,1987.0,93418
the living daylights,1987.0,93428
the lost boys,1987.0,93437
made in heaven,1987.0,93467
moonstruck,1987.0,93565
my demon lover,1987.0,93589
near dark,1987.0,93605
night of the demons,1988.0,93624
a nightmare on elm street 3: dream warriors,1987.0,93629
overboard,1987.0,93693
"planes, trains & automobiles",1987.0,93748
predator,1987.0,93773
prince of darkness,1987.0,93777
the princess bride,1987.0,93779
raising arizona,1987.0,93822
robocop,1987.0,93870
some kind of wonderful,1987.0,94006
someone to watch over me,1987.0,94008
spaceballs,1987.0,94012
street smart,1987.0,94056
superman iv: the quest for peace,1987.0,94074
three men and a baby,1987.0,94137
tin men,1987.0,94155
wall street,1987.0,94291
the witches of eastwick,1987.0,94332
withnail & i,1987.0,94336
above the law,1988.0,94602
the accidental tourist,1988.0,94606
action jackson,1988.0,94612
alien nation,1988.0,94631
bad dreams,1988.0,94701
beetlejuice,1988.0,94721
big,1988.0,94737
the blob,1988.0,94761
bull durham,1988.0,94812
coming to america,1988.0,94898
die hard,1988.0,95016
a fish called wanda,1988.0,95159
frantic,1988.0,95174
the big blue,1988.0,95250
halloween 4: the return of michael myers,1988.0,95271
hellbound: hellraiser ii,1988.0,95294
killer klowns from outer space,1988.0,95444
the last temptation of christ,1988.0,95497
maniac cop,1988.0,95583
midnight run,1988.0,95631
the naked gun: from the files of police squad!,1988.0,95705
a nightmare on elm street 4: the dream master,1988.0,95742
cinema paradiso,1988.0,95765
promised land,1987.0,95916
rambo iii,1988.0,95956
scrooged,1988.0,96061
sleepaway camp iii: teenage wasteland,1989.0,96119
tequila sunrise,1988.0,96244
they live,1988.0,96256
twins,1988.0,96320
waxwork,1988.0,96426
who framed roger rabbit,1988.0,96438
willow,1988.0,96446
working girl,1988.0,96463
young guns,1988.0,96487
the 'burbs,1989.0,96734
84c mopic,1989.0,96744
the abyss,1989.0,96754
back to the future part ii,1989.0,96874
batman,1989.0,96895
bill & ted's excellent adventure,1989.0,96928
black rain,1989.0,96933
born on the fourth of july,1989.0,96969
dead poets society,1989.0,97165
deepstar six,1989.0,97179
the killer,1989.0,97202
do the right thing,1989.0,97216
driving miss daisy,1989.0,97239
a dry white season,1989.0,97243
erik the viking,1989.0,97289
the fabulous baker boys,1989.0,97322
field of dreams,1989.0,97351
the fly ii,1989.0,97368
friday the 13th part viii: jason takes manhattan,1989.0,97388
ghostbusters ii,1989.0,97428
harlem nights,1989.0,97481
heathers,1988.0,97493
hider in the house,1989.0,97503
"honey, i shrunk the kids",1989.0,97523
indiana jones and the last crusade,1989.0,97576
the karate kid part iii,1989.0,97647
lethal weapon 2,1989.0,97733
leviathan,1989.0,97737
licence to kill,1989.0,97742
the little mermaid,1989.0,97757
little monsters,1989.0,97758
the magic toyshop,1987.0,97806
major league,1989.0,97815
national lampoon's christmas vacation,1989.0,97958
a nightmare on elm street: the dream child,1989.0,97981
pet sematary,1989.0,98084
road house,1989.0,98206
say anything,1989.0,98258
sea of love,1989.0,98273
star trek v: the final frontier,1989.0,98382
true believer,1989.0,98524
uncle buck,1989.0,98554
the war of the roses,1989.0,98621
we're no angels,1989.0,98625
when harry met sally...,1989.0,98635
"sex, lies, and videotape",1989.0,98724
the adventures of ford fairlane,1990.0,98987
another 48 hrs.,1990.0,99044
awakenings,1990.0,99077
the bonfire of the vanities,1990.0,99165
dances with wolves,1990.0,99348
darkman,1990.0,99365
desperate hours,1990.0,99409
die hard 2,1990.0,99423
edward scissorhands,1990.0,99487
the exorcist iii,1990.0,99528
ghost,1990.0,99653
the godfather part iii,1990.0,99674
goodfellas,1990.0,99685
gremlins 2: the new batch,1990.0,99700
the grifters,1990.0,99703
hard to kill,1990.0,99739
hardware,1990.0,99740
home alone,1990.0,99785
the hunt for red october,1990.0,99810
jacob's ladder,1990.0,99871
joe versus the volcano,1990.0,99892
leatherface: texas chainsaw massacre iii,1990.0,99994
memphis belle,1990.0,100133
